id,user,message,createdAt,logType,component,level,metadata
354,system,[ERROR] Build preparation failed,2025-09-05 07:57:53.964 +00:00,error,build-prep,error,"{""operation"":""main"",""error"":""EBUSY: resource busy or locked, unlink 'D:\\dev\\smc\\smc-app\\resources\\db\\database.db'"",""stack"":""Error: EBUSY: resource busy or locked, unlink 'D:\\dev\\smc\\smc-app\\resources\\db\\database.db'\n    at Object.unlinkSync (node:fs:1877:11)\n    at D:\\dev\\smc\\smc-app\\scripts\\build-prep.ts:572:14\n    at executeWithRetry (D:\\dev\\smc\\smc-app\\scripts\\build-prep.ts:46:20)\n    at cleanDatabase (D:\\dev\\smc\\smc-app\\scripts\\build-prep.ts:570:13)\n    at async main (D:\\dev\\smc\\smc-app\\scripts\\build-prep.ts:151:5)"",""duration"":""4459ms"",""platform"":""win32"",""nodeVersion"":""v20.15.0""}"
355,system,[INFO] Build preparation started,2025-09-05 07:59:21.155 +00:00,build,build-prep,info,"{""operation"":""main"",""timestamp"":""2025-09-05T07:59:21.153Z"",""platform"":""win32"",""nodeVersion"":""v20.15.0""}"
356,system,[INFO] Starting build configuration parsing,2025-09-05 07:59:21.200 +00:00,build,build-prep,info,"{""operation"":""parseBuildConfiguration"",""args"":[]}"
357,system,[INFO] Build configuration parsed successfully,2025-09-05 07:59:21.211 +00:00,build,build-prep,info,"{""operation"":""parseBuildConfiguration"",""organizationName"":""SMC_INTERNAL"",""deviceType"":""DS12"",""licenseType"":""production"",""isInternalBuild"":false,""useLicenseData"":true}"
358,system,[INFO] Starting build safety validation,2025-09-05 07:59:21.218 +00:00,build,build-prep,info,"{""operation"":""validateBuildSafety"",""isInternalBuild"":false,""licenseType"":""production"",""bypassMode"":""false"",""realHardware"":""false""}"
359,system,[INFO] Production build safety validation passed,2025-09-05 07:59:21.223 +00:00,build,build-prep,info,"{""operation"":""validateBuildSafety"",""licenseType"":""production"",""bypassMode"":""false"",""realHardware"":""false""}"
360,system,[INFO] Starting build environment validation,2025-09-05 07:59:21.228 +00:00,build,build-prep,info,"{""operation"":""validateBuildEnvironment"",""nodeVersion"":""v20.15.0"",""platform"":""win32""}"
361,system,[INFO] Build environment validation completed,2025-09-05 07:59:25.777 +00:00,build,build-prep,info,"{""operation"":""validateBuildEnvironment"",""nodeVersion"":""v20.15.0"",""majorVersion"":20}"
362,system,[INFO] Starting database cleanup,2025-09-05 07:59:25.782 +00:00,build,build-prep,info,"{""operation"":""cleanDatabase""}"
363,system,[ERROR] Build preparation failed,2025-09-05 07:59:25.788 +00:00,error,build-prep,error,"{""operation"":""main"",""error"":""EBUSY: resource busy or locked, unlink 'D:\\dev\\smc\\smc-app\\resources\\db\\database.db'"",""stack"":""Error: EBUSY: resource busy or locked, unlink 'D:\\dev\\smc\\smc-app\\resources\\db\\database.db'\n    at Object.unlinkSync (node:fs:1877:11)\n    at D:\\dev\\smc\\smc-app\\scripts\\build-prep.ts:572:14\n    at executeWithRetry (D:\\dev\\smc\\smc-app\\scripts\\build-prep.ts:46:20)\n    at cleanDatabase (D:\\dev\\smc\\smc-app\\scripts\\build-prep.ts:570:13)\n    at async main (D:\\dev\\smc\\smc-app\\scripts\\build-prep.ts:151:5)"",""duration"":""4634ms"",""platform"":""win32"",""nodeVersion"":""v20.15.0""}"
