timestamp,customer_id,organization,application_name,expiry_date,license_status,license_type,license_file,mac_address,wifi_ssid,created_at,updated_at,notes
2025-09-05T04:34:13.995Z,SMC_INTERNAL,SMC_INTERNAL,SMC_INTERNAL_TEST,ENCRYPTED,generated,production,license_test.lic,ENCRYPTED,ENCRYPTED,2025-09-05T04:34:13.990Z,2025-09-05T04:34:13.995Z,AUDIT: INTERNAL license generated by Asus for INTERNAL_TESTING
2025-09-05T15:45:44.032Z,DEV001,SMC Test Hospital,SMC_Test_TEST,ENCRYPTED,generated,production,license_test.lic,ENCRYPTED,ENCRYPTED,2025-09-05T15:45:44.027Z,2025-09-05T15:45:44.032Z,AUDIT: INTERNAL license generated by Asus for INTERNAL_TESTING
2025-09-05T16:02:11.468Z,TEST_INTERNAL,SMC_INTERNAL,SMC_INTERNAL_TEST_TEST,ENCRYPTED,generated,production,test-internal_test.lic,ENCRYPTED,ENCRYPTED,2025-09-05T16:02:11.463Z,2025-09-05T16:02:11.468Z,AUDIT: INTERNAL license generated by Asus for INTERNAL_TESTING
2025-09-05T16:21:17.260Z,INT001,SMC Internal,SMC_Test_TEST,ENCRYPTED,generated,production,internal-license_test.lic,ENCRYPTED,ENCRYPTED,2025-09-05T16:21:17.254Z,2025-09-05T16:21:17.260Z,AUDIT: INTERNAL license generated by Asus for INTERNAL_TESTING
2025-09-05T16:25:18.396Z,INT001,SMC Internal,SMC_Test_TEST,ENCRYPTED,generated,production,internal-license-v2_test.lic,ENCRYPTED,ENCRYPTED,2025-09-05T16:25:18.391Z,2025-09-05T16:25:18.396Z,AUDIT: INTERNAL license generated by Asus for INTERNAL_TESTING
