timestamp,customer_id,organization,application_name,expiry_date,license_status,license_type,license_file,mac_address,wifi_ssid,created_at,updated_at,notes
2025-09-03T09:11:35.315Z,Internal 01,SMC Internal,Internal Test 01_TEST,ENCRYPTED,generated,production,license_test.lic,ENCRYPTED,ENCRYPTED,2025-09-03T09:11:35.310Z,2025-09-03T09:11:35.315Z,AUDIT: INTERNAL license generated by Asus for INTERNAL_TESTING
2025-09-03T11:48:11.181Z,INT001,SMC Internal Testing,SMC_Test_TEST,ENCRYPTED,generated,production,internal-license_test.lic,ENCRYPTED,ENCRYPTED,2025-09-03T11:48:11.171Z,2025-09-03T11:48:11.181Z,AUDIT: INTERNAL license generated by Asus for INTERNAL_TESTING
2025-09-03T13:25:07.307Z,internal,internal,smc_internal_TEST,ENCRYPTED,generated,production,license_test.lic,ENCRYPTED,ENCRYPTED,2025-09-03T13:25:07.302Z,2025-09-03T13:25:07.307Z,AUDIT: DEVELOPMENT license generated by Asus for DEVELOPMENT_TESTING
2025-09-03T14:30:27.459Z,internal,internal,internal_TEST,ENCRYPTED,generated,production,license-test_test.lic,ENCRYPTED,ENCRYPTED,2025-09-03T14:30:27.453Z,2025-09-03T14:30:27.459Z,AUDIT: DEVELOPMENT license generated by Asus for DEVELOPMENT_TESTING
2025-09-03T15:10:47.609Z,SMC_internal,SMC_internal,SMC_internal_TEST,ENCRYPTED,generated,production,license_test.lic,ENCRYPTED,ENCRYPTED,2025-09-03T15:10:47.604Z,2025-09-03T15:10:47.609Z,AUDIT: INTERNAL license generated by Asus for INTERNAL_TESTING
2025-09-03T16:02:02.396Z,INTERNAL001,^SMC^ Internal^,SMC_Test_TEST,ENCRYPTED,generated,production,license_test.lic,ENCRYPTED,ENCRYPTED,2025-09-03T16:02:02.390Z,2025-09-03T16:02:02.396Z,AUDIT: INTERNAL license generated by Asus for INTERNAL_TESTING
